Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
SRR1661177,2005,Canada,America,,0.25,0.016,0.001,0.002,0.25,0.032,69,381,0.25,0.016,0.001,0.002,0.25,0.032,-2,-5.965784285,-9.965784285,-8.965784285,-2,-4.965784285,0,0,0,0,0,0
SRR1661178,2005,Canada,America,,0.063,0.016,0.0005,0.001,0.25,0.032,545,331,0.063,0.016,5.00E-04,0.001,0.25,0.032,-3.988504361,-5.965784285,-10.96578428,-9.965784285,-2,-4.965784285,0,0,0,0,0,0
SRR1661179,2006,Canada,America,,0.25,1,0.125,0.063,>=128,128,1056,677,0.25,1,0.125,0.063,256,128,-2,0,-3,-3.988504361,8,7,0,0,0,0,1,1
SRR1661180,2006,Canada,America,,0.032,0.004,0.002,0.004,0.25,0.25,2,536,0.032,0.004,0.002,0.004,0.25,0.25,-4.965784285,-7.965784285,-8.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661181,2006,Canada,America,,0.125,2,0.125,0.25,2,4,4014,844,0.125,2,0.125,0.25,2,4,-3,1,-3,-2,1,2,0,1,0,0,1,1
SRR1661182,2006,Canada,America,,0.125,2,0.125,0.25,2,4,4014,844,0.125,2,0.125,0.25,2,4,-3,1,-3,-2,1,2,0,1,0,0,1,1
SRR1661184,2006,Canada,America,,0.5,4,0.032,0.016,2,1,3108,817,0.5,4,0.032,0.016,2,1,-1,2,-4.965784285,-5.965784285,1,0,0,1,0,0,1,0
SRR1661185,2006,Canada,America,,0.25,16,0.125,0.25,4,2,225,179,0.25,16,0.125,0.25,4,2,-2,4,-3,-2,2,1,0,1,0,0,1,1
SRR1661186,2006,Canada,America,,0.25,4,0.016,0.016,1,1,3108,817,0.25,4,0.016,0.016,1,1,-2,2,-5.965784285,-5.965784285,0,0,0,1,0,0,0,0
SRR1661187,2006,Canada,America,,0.25,8,0.063,0.063,4,1,1407,127,0.25,8,0.063,0.063,4,1,-2,3,-3.988504361,-3.988504361,2,0,0,1,0,0,1,0
SRR1661188,2006,Canada,America,,0.25,16,0.063,0.063,8,2,225,179,0.25,16,0.063,0.063,8,2,-2,4,-3.988504361,-3.988504361,3,1,0,1,0,0,1,1
SRR1661189,2006,Canada,America,,0.25,4,0.008,0.016,1,1,-,1,0.25,4,0.008,0.016,1,1,-2,2,-6.965784285,-5.965784285,0,0,0,1,0,0,0,0
SRR1661191,2006,Canada,America,,0.25,16,0.125,0.063,4,2,225,179,0.25,16,0.125,0.063,4,2,-2,4,-3,-3.988504361,2,1,0,1,0,0,1,1
SRR1661192,2006,Canada,America,,0.25,32,0.125,0.063,4,2,225,179,0.25,32,0.125,0.063,4,2,-2,5,-3,-3.988504361,2,1,0,1,0,0,1,1
SRR1661193,2007,Canada,America,,0.032,4,0.125,0.032,1,0.25,225,179,0.032,4,0.125,0.032,1,0.25,-4.965784285,2,-3,-4.965784285,0,-2,0,1,0,0,0,0
SRR1661194,2007,Canada,America,,0.25,0.016,0.125,0.125,2,1,3565,831,0.25,0.016,0.125,0.125,2,1,-2,-5.965784285,-3,-3,1,0,0,0,0,0,1,0
SRR1661195,2007,Canada,America,,0.25,64,0.125,0.5,2,1,-,1,0.25,64,0.125,0.5,2,1,-2,6,-3,-1,1,0,0,1,0,0,1,0
SRR1661196,2008,Canada,America,,0.5,16,0.125,0.125,4,2,-,1,0.5,16,0.125,0.125,4,2,-1,4,-3,-3,2,1,0,1,0,0,1,1
SRR1661197,2007,Canada,America,,0.5,16,0.125,0.125,4,2,1407,127,0.5,16,0.125,0.125,4,2,-1,4,-3,-3,2,1,0,1,0,0,1,1
SRR1661198,2007,Canada,America,,0.5,16,0.125,0.125,4,2,1407,127,0.5,16,0.125,0.125,4,2,-1,4,-3,-3,2,1,0,1,0,0,1,1
SRR1661200,2008,Canada,America,,0.5,16,0.032,0.032,4,4,1407,127,0.5,16,0.032,0.032,4,4,-1,4,-4.965784285,-4.965784285,2,2,0,1,0,0,1,1
SRR1661201,2008,Canada,America,,0.5,16,0.125,0.25,4,2,3158,214,0.5,16,0.125,0.25,4,2,-1,4,-3,-2,2,1,0,1,0,0,1,1
SRR1661202,2008,Canada,America,,0.5,16,0.032,0.032,4,2,3779,261,0.5,16,0.032,0.032,4,2,-1,4,-4.965784285,-4.965784285,2,1,0,1,0,0,1,1
SRR1661203,2008,Canada,America,,0.5,16,0.063,0.125,2,1,3158,214,0.5,16,0.063,0.125,2,1,-1,4,-3.988504361,-3,1,0,0,1,0,0,1,0
SRR1661204,2008,Canada,America,,0.5,32,0.125,0.125,8,4,225,179,0.5,32,0.125,0.125,8,4,-1,5,-3,-3,3,2,0,1,0,0,1,1
SRR1661205,2008,Canada,America,,0.5,16,0.125,0.125,2,8,225,179,0.5,16,0.125,0.125,2,8,-1,4,-3,-3,1,3,0,1,0,0,1,1
SRR1661206,2008,Canada,America,,0.5,16,0.125,0.25,4,1,3158,214,0.5,16,0.125,0.25,4,1,-1,4,-3,-2,2,0,0,1,0,0,1,0
SRR1661208,2009,Canada,America,,0.5,16,0.125,0.25,4,2,-,1,0.5,16,0.125,0.25,4,2,-1,4,-3,-2,2,1,0,1,0,0,1,1
SRR1661209,2009,Canada,America,,16,16,0.063,0.063,4,4,1407,127,16,16,0.063,0.063,4,4,4,4,-3.988504361,-3.988504361,2,2,1,1,0,0,1,1
SRR1661210,2009,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16,0.125,0.25,4,4,-1,4,-3,-2,2,2,0,1,0,0,1,1
SRR1661212,2009,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16,0.125,0.25,4,4,-1,4,-3,-2,2,2,0,1,0,0,1,1
SRR1661213,2009,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16,0.125,0.25,4,4,-1,4,-3,-2,2,2,0,1,0,0,1,1
SRR1661214,2009,Canada,America,,0.25,16,0.032,0.032,4,2,225,179,0.25,16,0.032,0.032,4,2,-2,4,-4.965784285,-4.965784285,2,1,0,1,0,0,1,1
SRR1661215,2009,Canada,America,,0.25,8,0.063,0.125,2,1,3149,212,0.25,8,0.063,0.125,2,1,-2,3,-3.988504361,-3,1,0,0,1,0,0,1,0
SRR1661217,2009,Canada,America,,0.25,16,0.032,0.125,2,2,1407,127,0.25,16,0.032,0.125,2,2,-2,4,-4.965784285,-3,1,1,0,1,0,0,1,1
SRR1661218,2010,Canada,America,,0.25,0.125,0.008,0.032,1,0.25,2992,206,0.25,0.125,0.008,0.032,1,0.25,-2,-3,-6.965784285,-4.965784285,0,-2,0,0,0,0,0,0
SRR1661219,2010,Canada,America,,0.032,0.002,0.008,0.008,0.125,0.063,25,190,0.032,0.002,0.008,0.008,0.125,0.063,-4.965784285,-8.965784285,-6.965784285,-6.965784285,-3,-3.988504361,0,0,0,0,0,0
SRR1661220,2010,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16,0.125,0.25,4,4,-1,4,-3,-2,2,2,0,1,0,0,1,1
SRR1661221,2010,Canada,America,,0.5,16,0.032,0.016,4,4,-,1,0.5,16,0.032,0.016,4,4,-1,4,-4.965784285,-5.965784285,2,2,0,1,0,0,1,1
SRR1661222,2010,Canada,America,,0.5,8,0.063,0.032,2,2,3550,829,0.5,8,0.063,0.032,2,2,-1,3,-3.988504361,-4.965784285,1,1,0,1,0,0,1,1
SRR1661224,2009,Canada,America,,0.125,0.008,0.008,0.008,1,0.25,210,172,0.125,0.008,0.008,0.008,1,0.25,-3,-6.965784285,-6.965784285,-6.965784285,0,-2,0,0,0,0,0,0
SRR1661225,2010,Canada,America,,0.125,0.004,0.004,0.008,1,0.5,210,172,0.125,0.004,0.004,0.008,1,0.5,-3,-7.965784285,-7.965784285,-6.965784285,0,-1,0,0,0,0,0,0
SRR1661226,2010,Canada,America,,0.25,8,0.032,0.016,2,2,3150,213,0.25,8,0.032,0.016,2,2,-2,3,-4.965784285,-5.965784285,1,1,0,1,0,0,1,1
SRR1661228,2010,Canada,America,,0.5,4,0.032,0.063,2,1,757,593,0.5,4,0.032,0.063,2,1,-1,2,-4.965784285,-3.988504361,1,0,0,1,0,0,1,0
SRR1661230,2010,Canada,America,,0.25,16,0.125,0.125,2,2,4269,294,0.25,16,0.125,0.125,2,2,-2,4,-3,-3,1,1,0,1,0,0,1,1
SRR1661231,2010,Canada,America,,0.5,16,0.063,0.125,4,2,4269,294,0.5,16,0.063,0.125,4,2,-1,4,-3.988504361,-3,2,1,0,1,0,0,1,1
SRR1661232,2010,Canada,America,,0.25,0.004,0.004,0.008,0.25,0.125,4637,858,0.25,0.004,0.004,0.008,0.25,0.125,-2,-7.965784285,-7.965784285,-6.965784285,-2,-3,0,0,0,0,0,0
SRR1661233,2010,Canada,America,,0.5,16,0.125,0.25,4,2,1407,127,0.5,16,0.125,0.25,4,2,-1,4,-3,-2,2,1,0,1,0,0,1,1
SRR1661234,2010,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,5371,886,0.125,0.004,0.004,0.004,0.25,0.25,-3,-7.965784285,-7.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661235,2010,Canada,America,,0.125,0.004,0.002,0.004,0.5,0.25,5371,886,0.125,0.004,0.002,0.004,0.5,0.25,-3,-7.965784285,-8.965784285,-7.965784285,-1,-2,0,0,0,0,0,0
SRR1661236,2010,Canada,America,,0.063,0.002,0.002,0.004,0.25,0.125,51,563,0.063,0.002,0.002,0.004,0.25,0.125,-3.988504361,-8.965784285,-8.965784285,-7.965784285,-2,-3,0,0,0,0,0,0
SRR1661237,2010,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,6351,911,0.125,0.004,0.004,0.004,0.25,0.25,-3,-7.965784285,-7.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661238,2010,Canada,America,,0.125,0.004,0.002,0.004,0.25,0.25,231,183,0.125,0.004,0.002,0.004,0.25,0.25,-3,-7.965784285,-8.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661239,2010,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,6644,912,0.125,0.004,0.004,0.004,0.25,0.25,-3,-7.965784285,-7.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661240,2010,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,6645,913,0.125,0.004,0.004,0.004,0.25,0.25,-3,-7.965784285,-7.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661241,2011,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.125,231,183,0.125,0.004,0.004,0.004,0.25,0.125,-3,-7.965784285,-7.965784285,-7.965784285,-2,-3,0,0,0,0,0,0
SRR1661244,2010,Canada,America,,0.5,16,0.063,0.125,4,2,4985,876,0.5,16,0.063,0.125,4,2,-1,4,-3.988504361,-3,2,1,0,1,0,0,1,1
SRR1661246,2010,Canada,America,,0.5,16,0.125,0.125,4,2,1407,127,0.5,16,0.125,0.125,4,2,-1,4,-3,-3,2,1,0,1,0,0,1,1
SRR1661247,2010,Canada,America,,0.5,16,0.125,0.125,4,2,-,1,0.5,16,0.125,0.125,4,2,-1,4,-3,-3,2,1,0,1,0,0,1,1
SRR1661248,2010,Canada,America,,0.5,16,0.125,0.125,8,2,4985,876,0.5,16,0.125,0.125,8,2,-1,4,-3,-3,3,1,0,1,0,0,1,1
SRR1661251,2010,Canada,America,,0.5,16,0.125,0.125,4,1,4985,876,0.5,16,0.125,0.125,4,1,-1,4,-3,-3,2,0,0,1,0,0,1,0
SRR1661252,2010,Canada,America,,0.5,16,0.25,0.063,4,2,3550,829,0.5,16,0.25,0.063,4,2,-1,4,-2,-3.988504361,2,1,0,1,0,0,1,1
SRR1661253,2011,Canada,America,,0.25,16,0.125,0.25,2,2,3149,212,0.25,16,0.125,0.25,2,2,-2,4,-3,-2,1,1,0,1,0,0,1,1
SRR1661254,2011,Canada,America,,0.25,4,0.063,0.063,1,1,5643,572,0.25,4,0.063,0.063,1,1,-2,2,-3.988504361,-3.988504361,0,0,0,1,0,0,0,0
SRR1661255,2011,Canada,America,,0.032,0.004,0.002,0.004,0.5,0.125,3556,830,0.032,0.004,0.002,0.004,0.5,0.125,-4.965784285,-7.965784285,-8.965784285,-7.965784285,-1,-3,0,0,0,0,0,0
SRR1661256,2011,Canada,America,,0.032,0.002,0.002,0.004,0.25,0.125,3556,830,0.032,0.002,0.002,0.004,0.25,0.125,-4.965784285,-8.965784285,-8.965784285,-7.965784285,-2,-3,0,0,0,0,0,0
SRR1661257,2011,Canada,America,,0.063,0.002,0.004,0.004,0.125,0.063,-,1,0.063,0.002,0.004,0.004,0.125,0.063,-3.988504361,-8.965784285,-7.965784285,-7.965784285,-3,-3.988504361,0,0,0,0,0,0
SRR1661258,2010,Canada,America,,0.5,16,0.032,0.032,4,2,3150,213,0.5,16,0.032,0.032,4,2,-1,4,-4.965784285,-4.965784285,2,1,0,1,0,0,1,1
SRR1661259,2010,Canada,America,,0.5,16,0.125,0.25,4,2,1407,127,0.5,16,0.125,0.25,4,2,-1,4,-3,-2,2,1,0,1,0,0,1,1
SRR1661260,2010,Canada,America,,0.125,0.002,0.0005,0.004,0.25,0.25,6175,904,0.125,0.002,5.00E-04,0.004,0.25,0.25,-3,-8.965784285,-10.96578428,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661261,2010,Canada,America,,0.25,0.004,0.008,0.008,1,0.25,2992,206,0.25,0.004,0.008,0.008,1,0.25,-2,-7.965784285,-6.965784285,-6.965784285,0,-2,0,0,0,0,0,0
SRR1661263,2010,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,4669,310,0.125,0.004,0.004,0.004,0.25,0.25,-3,-7.965784285,-7.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661264,2010,Canada,America,,0.125,0.004,0.0005,0.002,0.5,0.125,545,331,0.125,0.004,5.00E-04,0.002,0.5,0.125,-3,-7.965784285,-10.96578428,-8.965784285,-1,-3,0,0,0,0,0,0
SRR1661266,2011,Canada,America,,0.125,0.004,0.004,0.004,0.5,0.25,2,536,0.125,0.004,0.004,0.004,0.5,0.25,-3,-7.965784285,-7.965784285,-7.965784285,-1,-2,0,0,0,0,0,0
SRR1661267,2011,Canada,America,,0.063,0.004,0.004,0.004,0.5,0.125,2,536,0.063,0.004,0.004,0.004,0.5,0.125,-3.988504361,-7.965784285,-7.965784285,-7.965784285,-1,-3,0,0,0,0,0,0
SRR1661268,2011,Canada,America,,0.5,4,0.063,0.25,4,1,5643,572,0.5,4,0.063,0.25,4,1,-1,2,-3.988504361,-2,2,0,0,1,0,0,1,0
SRR1661269,2011,Canada,America,,0.25,4,0.063,0.125,2,1,5643,572,0.25,4,0.063,0.125,2,1,-2,2,-3.988504361,-3,1,0,0,1,0,0,1,0
SRR1661270,2011,Canada,America,,0.5,16,0.125,0.25,8,2,3709,248,0.5,16,0.125,0.25,8,2,-1,4,-3,-2,3,1,0,1,0,0,1,1
SRR1661271,2011,Canada,America,,0.5,16,0.125,0.25,4,2,3158,214,0.5,16,0.125,0.25,4,2,-1,4,-3,-2,2,1,0,1,0,0,1,1
SRR1661272,2011,Canada,America,,0.5,4,0.125,0.25,2,2,5643,572,0.5,4,0.125,0.25,2,2,-1,2,-3,-2,1,1,0,1,0,0,1,1
SRR1661273,2011,Canada,America,,0.5,16,0.063,0.125,4,2,1513,788,0.5,16,0.063,0.125,4,2,-1,4,-3.988504361,-3,2,1,0,1,0,0,1,1
SRR1661274,2011,Canada,America,,0.063,4,0.032,0.063,1,0.5,1407,127,0.063,4,0.032,0.063,1,0.5,-3.988504361,2,-4.965784285,-3.988504361,0,-1,0,1,0,0,0,0
SRR1661276,2012,Canada,America,,0.5,16,0.063,0.125,4,1,1407,127,0.5,16,0.063,0.125,4,1,-1,4,-3.988504361,-3,2,0,0,1,0,0,1,0
SRR1661277,2012,Canada,America,,0.5,16,0.125,0.25,8,2,-,1,0.5,16,0.125,0.25,8,2,-1,4,-3,-2,3,1,0,1,0,0,1,1
SRR1661278,2012,Canada,America,,0.5,16,0.063,0.125,4,4,-,1,0.5,16,0.063,0.125,4,4,-1,4,-3.988504361,-3,2,2,0,1,0,0,1,1
SRR1661280,2011,Canada,America,,0.032,4,0.008,0.016,1,0.5,225,179,0.032,4,0.008,0.016,1,0.5,-4.965784285,2,-6.965784285,-5.965784285,0,-1,0,1,0,0,0,0
SRR1661282,2011,Canada,America,,0.25,0.004,0.004,0.004,1,0.25,1780,156,0.25,0.004,0.004,0.004,1,0.25,-2,-7.965784285,-7.965784285,-7.965784285,0,-2,0,0,0,0,0,0
SRR1661283,2011,Canada,America,,0.25,8,0.032,0.125,1,1,1407,127,0.25,8,0.032,0.125,1,1,-2,3,-4.965784285,-3,0,0,0,1,0,0,0,0
SRR1661284,2012,Canada,America,,0.25,8,0.032,0.125,2,1,-,1,0.25,8,0.032,0.125,2,1,-2,3,-4.965784285,-3,1,0,0,1,0,0,1,0
SRR1661285,2012,Canada,America,,0.032,0.002,0.002,0.004,0.25,0.125,3556,830,0.032,0.002,0.002,0.004,0.25,0.125,-4.965784285,-8.965784285,-8.965784285,-7.965784285,-2,-3,0,0,0,0,0,0
SRR1661286,2011,Canada,America,,0.125,0.004,0.002,0.004,0.25,0.25,231,183,0.125,0.004,0.002,0.004,0.25,0.25,-3,-7.965784285,-8.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661287,2011,Canada,America,,0.125,0.008,0.002,0.004,0.25,0.25,7983,938,0.125,0.008,0.002,0.004,0.25,0.25,-3,-6.965784285,-8.965784285,-7.965784285,-2,-2,0,0,0,0,0,0
SRR1661288,2011,Canada,America,,0.125,0.004,0.004,0.002,0.25,0.25,6644,912,0.125,0.004,0.004,0.002,0.25,0.25,-3,-7.965784285,-7.965784285,-8.965784285,-2,-2,0,0,0,0,0,0
SRR1661289,2011,Canada,America,,0.125,0.004,0.001,0.002,0.25,0.032,8,411,0.125,0.004,0.001,0.002,0.25,0.032,-3,-7.965784285,-9.965784285,-8.965784285,-2,-4.965784285,0,0,0,0,0,0
SRR1661290,2011,Canada,America,,0.25,0.004,0.004,0.004,1,0.25,374,838,0.25,0.004,0.004,0.004,1,0.25,-2,-7.965784285,-7.965784285,-7.965784285,0,-2,0,0,0,0,0,0
SRR1661291,2011,Canada,America,,0.125,0.004,0.004,0.004,1,0.25,374,838,0.125,0.004,0.004,0.004,1,0.25,-3,-7.965784285,-7.965784285,-7.965784285,0,-2,0,0,0,0,0,0
SRR1661293,2011,Canada,America,,0.5,8,0.063,0.125,4,2,7986,939,0.5,8,0.063,0.125,4,2,-1,3,-3.988504361,-3,2,1,0,1,0,0,1,1
SRR1661294,2011,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16,0.125,0.25,4,4,-1,4,-3,-2,2,2,0,1,0,0,1,1
SRR1661295,2011,Canada,America,,0.032,0.004,0.002,0.004,1,0.125,5650,897,0.032,0.004,0.002,0.004,1,0.125,-4.965784285,-7.965784285,-8.965784285,-7.965784285,0,-3,0,0,0,0,0,0
SRR1661296,2012,Canada,America,,0.063,16,0.063,0.063,64,2,8851,973,0.063,16,0.063,0.063,64,2,-3.988504361,4,-3.988504361,-3.988504361,6,1,0,1,0,0,1,1
SRR1661297,2012,Canada,America,,0.063,8,0.125,0.063,4,2,7986,939,0.063,8,0.125,0.063,4,2,-3.988504361,3,-3,-3.988504361,2,1,0,1,0,0,1,1
SRR1661298,2012,Canada,America,,0.5,16,0.063,0.125,4,2,3378,543,0.5,16,0.063,0.125,4,2,-1,4,-3.988504361,-3,2,1,0,1,0,0,1,1
SRR1661299,2012,Canada,America,,0.125,16,0.125,0.125,4,4,1407,127,0.125,16,0.125,0.125,4,4,-3,4,-3,-3,2,2,0,1,0,0,1,1
SRR1661300,2012,Canada,America,,0.063,8,0.125,0.063,4,2,7986,939,0.063,8,0.125,0.063,4,2,-3.988504361,3,-3,-3.988504361,2,1,0,1,0,0,1,1
SRR1661302,2012,Canada,America,,0.063,8,0.125,0.25,4,2,3158,214,0.063,8,0.125,0.25,4,2,-3.988504361,3,-3,-2,2,1,0,1,0,0,1,1
SRR1661303,2012,Canada,America,,0.063,8,0.063,0.063,4,4,7986,939,0.063,8,0.063,0.063,4,4,-3.988504361,3,-3.988504361,-3.988504361,2,2,0,1,0,0,1,1
SRR1661304,2012,Canada,America,,0.063,16,0.125,0.125,4,4,1407,127,0.063,16,0.125,0.125,4,4,-3.988504361,4,-3,-3,2,2,0,1,0,0,1,1
SRR1661305,2012,Canada,America,,0.063,8,0.125,0.063,4,2,-,1,0.063,8,0.125,0.063,4,2,-3.988504361,3,-3,-3.988504361,2,1,0,1,0,0,1,1
SRR1661306,2012,Canada,America,,0.063,16,0.125,0.063,4,4,7986,939,0.063,16,0.125,0.063,4,4,-3.988504361,4,-3,-3.988504361,2,2,0,1,0,0,1,1
